review_id,date,bank_name,rating,churn,platform,sex,age,tenure,credit_score,balance,products_number,credit_card,active_member,data_source
AP_VIE_0000,2026-01-05,Vietcombank,3,0,app_store,Female,64,1,373,116910269.0,3,1,1,synthetic
AP_VIE_0001,2025-12-18,Vietcombank,4,0,app_store,Male,32,11,721,324072666.0,3,0,0,synthetic
AP_VIE_0002,2025-12-17,Vietcombank,1,1,app_store,Male,39,11,555,1253948943.0,4,1,1,synthetic
AP_VIE_0003,2026-01-08,Vietcombank,3,0,app_store,Male,58,7,829,519741546.0,2,1,0,synthetic
AP_VIE_0004,2025-12-31,Vietcombank,3,0,app_store,Female,70,14,594,409731394.0,1,1,1,synthetic
AP_VIE_0005,2025-12-21,Vietcombank,5,0,app_store,Female,20,0,550,1141407041.0,4,0,1,synthetic
AP_VIE_0006,2025-12-19,Vietcombank,3,0,app_store,Female,37,18,716,1661556274.0,3,1,1,synthetic
AP_VIE_0007,2025-12-27,Vietcombank,2,1,app_store,Male,46,4,353,366404894.0,1,0,1,synthetic
AP_VIE_0008,2025-12-29,Vietcombank,5,0,app_store,Male,44,6,694,1523835545.0,1,1,1,synthetic
AP_VIE_0009,2026-01-03,Vietcombank,5,0,app_store,Male,32,0,500,1627407216.0,3,1,1,synthetic
AP_VIE_0010,2025-12-30,Vietcombank,5,0,app_store,Male,54,1,630,1463549377.0,1,1,0,synthetic
AP_VIE_0011,2025-12-19,Vietcombank,1,1,app_store,Female,28,7,824,843912546.0,2,0,1,synthetic
AP_VIE_0012,2025-12-21,Vietcombank,4,0,app_store,Male,52,2,659,266294244.0,2,1,0,synthetic
AP_VIE_0013,2026-01-05,Vietcombank,3,0,app_store,Male,31,12,526,8648782.0,5,1,1,synthetic
AP_VIE_0014,2025-12-23,Vietcombank,2,1,app_store,Female,67,13,319,241002770.0,1,1,1,synthetic
AP_VIE_0015,2025-12-24,Vietcombank,1,1,app_store,Female,58,18,386,965353702.0,3,1,1,synthetic
AP_VIE_0016,2025-12-20,Vietcombank,1,1,app_store,Male,25,5,322,810733029.0,1,0,1,synthetic
AP_VIE_0017,2025-12-19,Vietcombank,2,1,app_store,Female,57,0,381,1833428662.0,2,1,1,synthetic
AP_VIE_0018,2025-12-22,Vietcombank,1,1,app_store,Female,57,0,444,1532302067.0,3,1,1,synthetic
AP_VIE_0019,2025-12-29,Vietcombank,4,0,app_store,Male,39,15,749,221192516.0,2,1,1,synthetic
AP_VIE_0020,2025-12-20,Vietcombank,1,1,app_store,Female,26,4,686,780906203.0,3,1,1,synthetic
AP_VIE_0021,2026-01-02,Vietcombank,5,0,app_store,Female,56,20,641,1946053179.0,3,1,1,synthetic
